일자	단어	뜻
1일차	make use of 	~을 활용하다
1일차	plot	음모
1일차	brute	야수 짐승같은
1일차	molecule 	분자
1일차	commodity 	"상품, 물품"
1일차	correspond	일치하다
1일차	removed from 	~과 다른[동떨어진]
1일차	microscopic 	"미시적인, 현미경의"
1일차	pear	서양배
1일차	shot 	숏(영화에서 한 대의 카메라가 계속해 서 잡는 장면)
1일차	big	큰
1일차	across	가로질러
1일차	dramatic	"인상적인, 극적인"
1일차	might	힘
1일차	liberal	자유주의의
1일차	gift	선물
1일차	fountain	샘
1일차	maintain 	유지하다
1일차	instant	즉시의
1일차	giftedness 	영재성
1일차	dog	개
1일차	roar 	포효
1일차	work out 	~을 계산하다
1일차	transaction 	거래
1일차	inquiry 	조사
1일차	basic	기본의
1일차	purchase	"사다, 구입하다"
1일차	make up 	~을 이루다
1일차	inventory 	"물품 목록, 재고(품)"
1일차	undertake	떠맡다
1일차	mode 	방식
1일차	disconnected 	단절된
1일차	moderate 	"중간의, 중도의"
1일차	cue 	"신호, 단서"
1일차	automatically 	무의식적으로
1일차	investigator 	조사관
1일차	random 	제멋대로의
1일차	triumph 	승리하다
1일차	envy	질투
1일차	burn	시내
1일차	stir 	불러일으키다
1일차	post 	"게재하다, 게시하다"
1일차	fundamental 	"(주로 복수로) 기초, 기본"
1일차	perceive 	인식하다
1일차	excellent	우수한
1일차	ocean	대양
1일차	nature 	본질
1일차	poet	시인
1일차	spit	침을 뱉다
2일차	prestige 	"명망, 명성"
2일차	grasp 	이해하다
2일차	periodically 	주기적으로
2일차	wage	임금
2일차	utility 	"효용, 유용"
2일차	constitute 	구성하다
2일차	dying to do 	몹시 ~하고 싶은
2일차	full	가득찬
2일차	woodland 	삼림 지대
2일차	extent 	"정도, 범위"
2일차	venture 	모험적 사업
2일차	serve in the ranks 	사병으로 복무하다
2일차	indicate 	"보여 주다, 나타내다"
2일차	aptitude 	"소질, 적성"
2일차	anniversary 	"기념일, 기념행사"
2일차	unsettling 	"심란한, 불안하게 하는"
2일차	half-day 	(오전이나 오후 중) 반나절만 근무하 는 날
2일차	primacy 	"제일, 수위"
2일차	fresh	새로운
2일차	air	공기
2일차	margin	가장자리
2일차	depiction 	묘사
2일차	microevolution 	소진화
2일차	net	그물
2일차	command 	명령
2일차	angel	천사
2일차	formal	형식상의
2일차	be engaged 	"관여하다, 참여하다"
2일차	issue 	(정기 간행물의) 호
2일차	episode	삽화
2일차	bay	만
2일차	offender 	"가해자, 범죄자"
2일차	terrace	계단모양의 뜰(광장)
2일차	order 	질서
2일차	cultivate	경작하다
2일차	file	종이끼우개
2일차	anthropology 	인류학
2일차	candidate 	"지원자, 후보자"
2일차	puzzle	"당황, 혼란 괴롭히는 사람,  어려운 문제"
2일차	strip	벗기다
2일차	switch	회초리
2일차	stable 	"불변의, 안정적인"
2일차	hair	털
2일차	applicant 	지원자
2일차	off-white 	회색을 띤 백색의
2일차	companion 	"동료, 동반자"
2일차	delicacy 	"별미, 진미"
2일차	reproduce 	번식하다
2일차	pregnant	임신한 충만한
2일차	drastically 	"대폭(적으로), 과감하게"
3일차	rage	격노
3일차	outrage	불법(적인 행위)
3일차	national border 	국경
3일차	colleague 	동료
3일차	contrary to 	~과는 달리
3일차	fire	불
3일차	nonverbal 	비언어적인
3일차	retail	소매
3일차	rumor	소문
3일차	float 	뜨다
3일차	instruct	가르치다
3일차	symphony 	교향곡
3일차	people	사람들
3일차	furnish	공급하다
3일차	genetically programmed 	유전적으로 프로그램화된
3일차	emerge 	"(새로이) 생겨나다, 나타나다"
3일차	traffic	교통
3일차	condemn	나무라다
3일차	formation	형성
3일차	New Deal 	뉴딜 정책(미국이 1930년대의 대공황 기에 실시한 경제 부흥과 사회 보장 증 진 정책)
3일차	accomplishment 	"업적, 공적"
3일차	counsel	의논
3일차	sad	슬픈
3일차	individual	개인
3일차	well-being 	"복지, 행복, 안녕"
3일차	bond to 	~과 결합하다
3일차	afraid	두려워하여
3일차	persuasive 	설득하는
3일차	appropriately 	적절하게
3일차	strain 	"무리하다, 안간힘을 쓰다"
3일차	hip	엉덩이
3일차	cite	인용하다(quote)
3일차	hungry	배고픈
3일차	commitment 	약속
3일차	theme	논제
3일차	justify 	정당화하다
3일차	noise	소리
